ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
Lenovo IdeaPad 3 Core i5 11th Gen,4.2,159,15,₹47241,₹88990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,522,65,₹46049,₹68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
MSI GF63 Thin Hexa Core i5 10th Gen,4.4,3052,320,₹49990,₹76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.6,7,2,₹45990,₹67990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kwmfqfk0/computer/8/l/2/ideapad-3-14acl6-thin-and-light-laptop-lenovo-original-imag99kmftdeexpz.jpeg?q=70
Lenovo Thinkpad Ryzen 5 Hexa Core 5600U,4.4,36,5,₹56990,₹78400,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktuewsw0/computer/3/u/j/e14-amd-gen-3-thin-and-light-laptop-lenovo-original-imag73utqsnfzf6f.jpeg?q=70
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,4.3,424,41,₹48990,₹75390,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/n/n/a/na-thin-and-light-laptop-lenovo-original-imag3dnyeycazpvf.jpeg?q=70
MSI Modern 14 Core i3 11th Gen,4.3,153,20,₹48790,₹55990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70
MSI Modern 14 Core i3 10th Gen,4.4,513,99,₹47490,₹52491,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.4,1032,106,₹48500,₹63790,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksj9dow0/computer/t/u/y/na-thin-and-light-laptop-lenovo-original-imag6345xr8bmahm.jpeg?q=70
Lenovo Ideapad 330 Core i5 8th Gen,4.2,4432,569,₹46990,₹62290,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/jms25jk0/computer/d/e/x/lenovo-na-laptop-original-imaf9hu7hyuktyaw.jpeg?q=70
Lenovo Core i3 11th Gen,1.8,4,0,₹49490,₹60999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyhlfgw0/computer/n/s/h/ideapad-3-laptop-lenovo-original-imagap9uqmbsfdds.jpeg?q=70
Lenovo Ideapad 330 Core i5 8th Gen,4.2,7048,978,₹49999,₹50000,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/jmz7csw0/computer/w/v/f/lenovo-na-laptop-original-imaf9ry4w5drgehg.jpeg?q=70
MSI Modern 14 Core i5 10th Gen,4.4,844,107,₹41490,₹61990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/computer/a/f/n/modern-14-b4mw-410in-notebook-msi-original-imag2km2byc24psz.jpeg?q=70
MSI Modern 14 Ryzen 5 Hexa Core 4500U,4.5,1255,201,₹43990,₹61990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/computer/t/m/1/modern-14-b4mw-410in-notebook-msi-original-imag2km2armfgmhp.jpeg?q=70
MSI Core i5 11th Gen,4,82,10,₹44990,₹66990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70
Lenovo ThinkPad E15 Core i3 11th Gen,4.3,57,7,₹44990,₹59239,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kngd0nk0/computer/k/q/5/na-laptop-lenovo-original-imag24kvhrgqvjut.jpeg?q=70
Lenovo Ideapad S340 Core i3 10th Gen,4.3,523,89,₹42490,₹58490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/k94j24w0/computer/z/f/p/lenovo-na-thin-and-light-laptop-original-imafqzdgma75wgxz.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,480,47,₹36990,₹56690,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/k/z/z/na-thin-and-light-laptop-lenovo-original-imag56ugmfkzgzkj.jpeg?q=70
Lenovo V15 Core i3 11th Gen,0,0,0,₹43990,₹50250,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kuvkcy80/computer/w/a/q/v15-thin-and-light-laptop-lenovo-original-imag7wnrx4zfy6ar.jpeg?q=70
Lenovo 310 Core i5 6th Gen,4.2,3368,769,₹44000,0,Intel Core i5 Processor (6th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/computer/g/f/a/lenovo-ideapad-original-imaezxn6hjabtjay.jpeg?q=70
Lenovo Ideapad 130 Core i5 8th Gen,4.1,792,81,₹41949,₹61490,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/k3xcdjk0pkrrdj/computer/x/u/g/lenovo-na-laptop-original-imafk3hth2vywhhg.jpeg?q=70
Lenovo Ideapad 310 APU Quad Core A10 A10,3.9,580,131,₹40490,0,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),AMD APU Quad Core A10 Processor (7th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/computer/f/p/h/lenovo-notebook-original-imaeqdnysqqqaba2.jpeg?q=70
Lenovo Yoga 510 Core i3 6th Gen,4.1,2067,395,₹44500,0,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Intel Core i3 Processor (6th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/j1mggi80/computer/e/j/f/lenovo-2-in-1-laptop-original-imaezzztyq6zadhj.jpeg?q=70
Lenovo Core i3 10th Gen,3.1,71,15,₹44590,₹50613,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kflftzk0/computer/p/k/3/lenovo-v14-thin-and-light-laptop-original-imafwyvcwnhxzwfz.jpeg?q=70
